field_name,persona,source_type,source_file,sample_values,suggested_new_name,notes
Budget Category,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['IT Project Portfolio', 'IT Project Portfolio', 'IT Project Portfolio']",,
Period,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['Q1 2025', 'Q2 2025', 'Q3 2025']",,
Initial Budget,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[234765, 131455, 287339]",,
Actual Spend,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[209282, 147409, 300772]",,
Variance Amount,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[-25483, 15954, 13433]",,
Variance %,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['-10.9 %', '12.1 %', '4.7 %']",,
Variance Alert,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"['Overrun', 'Overrun', 'OK']",,
Cumulative to Date,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[46220, 146862, 168625]",,
Remaining Budget,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[188545, -15407, 118714]",,
Prior Year Spend,CFO - Financial Steward,CSV Column,src\metrics\cfo\cfo_budget_vs_actual_examples.csv,"[248033, 141972, 271244]",,
Project_ID,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['PQC-001', 'PQC-002', 'PQC-003']",,
Project_Name,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['Student Portal Upgrade', 'Cloud Migration Phase 1', 'Cybersecurity Enhancement']",,
Status,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['In Progress', 'Completed', 'In Progress']",,
Total_Budget,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[250000, 450000, 300000]",,
Spent_to_Date,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[175000, 445000, 125000]",,
Start_Date,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['2024-01-15', '2023-09-01', '2024-02-01']",,
End_Date,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['2024-08-30', '2024-03-15', '2024-12-31']",,
Duration_days,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[228, 196, 334]",,
Elapsed_days,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[590, 726, 573]",,
Timeline_Completion_%,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[100.0, 100.0, 100.0]",,
Budget_Variance_%,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"[-30.0, -1.1, -58.3]",,
Budget_Status,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['Under Budget', 'On Track', 'Under Budget']",,
Time_Status,CIO - Strategic Business Partner,CSV Column,src\metrics\cio\project_timeline_budget_performance.csv,"['Unknown', 'On Track', 'Unknown']",,
project_id,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['PQC-001', 'PQC-002', 'PQC-003']",,
project_name,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['Student Portal Upgrade', 'Cloud Migration Phase 1', 'Cybersecurity Enhancement']",,
status,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['Completed', 'Completed', 'Completed']",,
total_budget,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[250000, 450000, 300000]",,
spent_to_date,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[250000.0, 450000.0, 300000.0]",,
start_date,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2024-01-15', '2023-09-01', '2024-02-01']",,
target_end_date,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2024-08-30', '2024-03-15', '2024-12-31']",,
current_end_date,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2024-08-30', '2024-03-15', '2024-12-31']",,
duration_days,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[228, 196, 334]",,
elapsed_days,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[228, 196, 334]",,
timeline_completion_pct,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[100, 100, 100]",,
budget_variance_pct,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[0.0, 0.0, 0.0]",,
budget_status,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['On Track', 'On Track', 'On Track']",,
schedule_status,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['On Track', 'On Track', 'On Track']",,
health_score,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[8.816734307889973, 8.687021504122962, 8.453231076505833]",,
team_size,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[10, 3, 9]",,
deliverables_completed,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[7, 2, 0]",,
deliverables_total,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"[7, 9, 12]",,
last_updated,Project Manager,CSV Column,src\metrics\pm\project_timeline_budget_performance.csv,"['2025-08-28 02:00:46.662469', '2025-08-28 02:00:46.662999', '2025-08-28 02:00:46.663512']",,
